0.385,333.016
0.442,256.62
1.067,231.258
1.067,201.528
1.181,170.852
1.587,146.564
2.374,140.43
2.943,124.929
3.227,109.998
3.682,93.041
4.25,78.518
4.875,67.026
4.932,58.731
5.074,49.774
5.614,60.039
6.637,91.769
6.842,115.266
7.14,143.711
7.471,174.016
7.66,198.227
8.228,147.528
8.297,116.222
8.683,95.418
8.91,79.06
9.138,67.257
9.195,57.019
9.479,48.44
9.706,40.172
10.161,34.545
10.934,30.591
11.241,25.846
11.638,21.937
12.116,17.985
12.15,14.957
12.633,12.637
12.548,11.126
13.538,15.254
14.537,16.64
14.48,14.957
15.541,18.218
16.071,16.111
16.526,14.752
17.046,19.011
17.151,21.39
17.379,16.356
18.004,13.521
17.89,18.899
17.89,16.469
18.377,10.92
18.572,8.943
19.51,14.401
19.14,12.167
19.14,10.899
19.709,16.929
20.651,13.163
20.504,11.516
21.578,15.611
21.755,13.771
22.755,13.178
23.119,11.756
23.971,11.837
24.483,10.72
25.695,10.849
26.68,10.701
26.794,9.433
27.666,10.799
27.756,9.265
28.38,8.18
29.143,9.093
29.825,7.709
30.848,6.808
32.035,7.437
32.061,6.373
31.985,8.907
32.712,6.048
33.122,7.465
34.122,8.391
34.622,9.817
35.016,11.28
35.243,12.056
36.039,9.498
37.1,9.145
37.441,7.834
37.744,7.098
38.805,8.164
39.805,7.877
40.396,6.715
40.927,5.908
41.578,6.715
41.76,5.708
42.637,8.164
42.329,6.921
42.215,6.285
43.693,7.807
44.337,6.969
44.67,5.982
44.488,5.28
45.261,8.721
45.057,7.213
45.852,10.287
46.62,11.456
47.387,10.315
47.898,9.051
