0.622,510.121
0.622,444.129
0.735,386.675
0.963,336.653
1.303,244.797
1.587,206.588
1.871,169.971
2.155,137.761
2.143,114.263
2.325,98.567
2.438,85.125
3.46,77.526
4.406,76.636
5.082,67.765
5.617,84.44
5.844,107.854
6.321,133.441
6.525,157.138
6.752,189.454
7.121,240.594
7.37,306.954
7.433,378.723
7.925,248.212
8.001,206.35
8.001,179.656
8.114,154.441
8.228,132.459
8.342,113.868
8.398,96.429
8.625,81.66
8.864,68.819
9.25,55.984
9.477,45.796
9.704,40.01
10.362,34.81
10.839,30.014
11.407,25.665
12.031,23.716
13.087,23.815
12.931,20.064
12.996,18.355
14.182,29.579
13.753,23.881
14.926,28.594
15.13,24.417
15.558,21.846
16.288,22.909
16.515,19.671
16.818,16.735
17.855,16.891
18.496,20.007
19.315,16.054
19.24,19.603
19.542,13.849
20.488,15.953
21.056,13.722
21.624,15.458
22.759,14.706
22.986,12.922
23.327,17.894
23.894,21.131
24.484,23.164
25.058,18.546
25.975,19.089
26.482,16.293
26.911,14.706
27.64,16.203
27.754,13.913
27.943,11.674
28.511,11.302
29.57,11.728
30.251,9.955
31.023,9.31
31.727,12.002
31.614,9.932
32.153,14.782
32.919,11.823
33.203,15.33
33.203,10.017
33.43,8.767
34.149,13.042
33.998,15.119
34.263,10.792
34.679,9.278
35.246,8.496
35.895,10.278
36.779,9.739
37.214,8.353
37.46,7.094
37.517,6.317
38.393,9.164
39.015,10.693
39.333,12.803
39.56,14.544
40.469,12.733
41.49,12.737
41.906,11.276
42.058,9.683
42.966,14.107
42.966,11.946
43.874,10.339
43.799,8.489
44.253,12.453
44.004,7.127
44.101,6.494
45.009,15.436
45.047,10.425
44.896,8.333
45.199,12.453
45.804,10.401
46.145,8.735
46.145,7.711
45.918,6.896
47.144,9.519
47.643,11.334
